ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title
205442_at,3.31E-12,3.27E-15,-9.271028,24.135583,-1.4185761,MFAP3L,microfibrillar associated protein 3 like
205730_s_at,4.83E-12,5.07E-15,-9.184604,23.709512,-2.4477676,ABLIM3,actin binding LIM protein family member 3
204115_at,4.83E-12,5.21E-15,-9.179576,23.684733,-1.3210644,GNG11,G protein subunit gamma 11
200863_s_at,5.68E-12,6.38E-15,-9.139737,23.488429,-0.4626889,RAB11A,"RAB11A, member RAS oncogene family"
214211_at,5.71E-12,6.66E-15,-9.131117,23.445961,-1.0028902,FTH1,ferritin heavy chain 1
201108_s_at,6.58E-12,7.97E-15,-9.095842,23.272209,-1.8241849,THBS1,thrombospondin 1
205896_at,6.81E-12,8.55E-15,-9.081975,23.203919,-0.9684762,SLC22A4,solute carrier family 22 member 4
203315_at,8.77E-12,1.14E-14,-9.025356,22.925179,-0.5442238,NCK2,NCK adaptor protein 2
218711_s_at,1.23E-11,1.66E-14,-8.951356,22.561104,-0.9388956,SDPR,serum deprivation response
200736_s_at,1.29E-11,1.79E-14,-8.936213,22.486637,-0.9034111,GPX1,glutathione peroxidase 1
216212_s_at,1.79E-11,2.57E-14,8.865553,22.139319,1.6253875,MIR664B///SNORA56///DKC1,"microRNA 664b///small nucleolar RNA, H/ACA box 56///dyskerin pseudouridine synthase 1"
204785_x_at,2.09E-11,3.10E-14,-8.828677,21.958177,-0.6422087,IFNAR2,interferon alpha and beta receptor subunit 2
208690_s_at,2.61E-11,3.99E-14,-8.778709,21.712858,-0.8011295,PDLIM1,PDZ and LIM domain 1
205220_at,2.86E-11,4.50E-14,-8.75476,21.595335,-1.7945262,HCAR3,hydroxycarboxylic acid receptor 3
204081_at,2.86E-11,4.72E-14,-8.745379,21.54931,-1.2245583,NRGN,neurogranin
200622_x_at,2.86E-11,4.75E-14,-8.744486,21.544931,-0.618355,CALM3///CALM2///CALM1,calmodulin 3///calmodulin 2///calmodulin 1
208579_x_at,3.15E-11,5.37E-14,-8.7199,21.424339,-1.001047,H2BFS,H2B histone family member S
217764_s_at,3.63E-11,6.36E-14,-8.686737,21.261742,-0.7313795,RAB31,"RAB31, member RAS oncogene family"
208636_at,4.02E-11,7.21E-14,-8.661753,21.1393,-0.7926678,ACTN1,actinin alpha 1
205128_x_at,4.14E-11,7.61E-14,-8.651149,21.087346,-1.0066033,PTGS1,prostaglandin-endoperoxide synthase 1
214948_s_at,4.73E-11,8.92E-14,8.619867,20.93413,0.6998538,TMF1,TATA element modulatory factor 1
202948_at,4.80E-11,9.26E-14,-8.612403,20.897581,-2.1179775,IL1R1,interleukin 1 receptor type 1
212808_at,7.27E-11,1.44E-13,8.52564,20.473069,0.6870852,NFATC2IP,nuclear factor of activated T-cells 2 interacting protein
200680_x_at,7.40E-11,1.50E-13,8.517595,20.433734,0.4605404,HMGB1,high mobility group box 1
209447_at,7.62E-11,1.57E-13,8.507626,20.385007,0.9457092,SYNE1,spectrin repeat containing nuclear envelope protein 1
220607_x_at,8.39E-11,1.77E-13,8.484248,20.270763,0.5422399,NELFCD,negative elongation factor complex member C/D
210075_at,9.28E-11,2.00E-13,-8.460077,20.152697,-1.0577715,2-Mar,membrane associated ring-CH-type finger 2
201059_at,1.02E-10,2.26E-13,-8.435585,20.033111,-1.0813484,CTTN,cortactin
202437_s_at,1.02E-10,2.28E-13,-8.434144,20.026079,-1.9632537,CYP1B1,cytochrome P450 family 1 subfamily B member 1
210845_s_at,1.12E-10,2.56E-13,-8.410588,19.911118,-1.180375,PLAUR,"plasminogen activator, urokinase receptor"
213121_at,1.14E-10,2.65E-13,8.403936,19.878663,1.7742048,SNRNP70,small nuclear ribonucleoprotein U1 subunit 70
205568_at,1.21E-10,2.87E-13,-8.388407,19.802919,-1.7016386,AQP9,aquaporin 9
221211_s_at,1.65E-10,4.01E-13,-8.321815,19.478353,-1.2092731,MAP3K7CL,MAP3K7 C-terminal like
204319_s_at,1.71E-10,4.27E-13,-8.309558,19.418664,-0.5926405,RGS10,regulator of G-protein signaling 10
200867_at,1.71E-10,4.30E-13,8.30801,19.411128,0.5929451,RNF114,ring finger protein 114
217837_s_at,1.85E-10,4.75E-13,-8.288116,19.314275,-0.4685753,RNF103-CHMP3///CHMP3,RNF103-CHMP3 readthrough///charged multivesicular body protein 3
202377_at,1.85E-10,4.84E-13,-8.284356,19.295978,-0.6214746,LEPROT,leptin receptor overlapping transcript
202362_at,1.85E-10,4.89E-13,-8.282188,19.285424,-0.7115515,RAP1A,"RAP1A, member of RAS oncogene family"
217996_at,1.90E-10,5.11E-13,-8.273617,19.243719,-1.7103592,PHLDA1,pleckstrin homology like domain family A member 1
220088_at,1.90E-10,5.22E-13,-8.269447,19.223427,-1.2956682,C5AR1,complement component 5a receptor 1
219434_at,1.90E-10,5.29E-13,-8.266752,19.210318,-1.3458876,TREM1,triggering receptor expressed on myeloid cells 1
209240_at,1.90E-10,5.40E-13,8.262461,19.189441,0.8977636,OGT,O-linked N-acetylglucosamine (GlcNAc) transferase
201164_s_at,1.90E-10,5.53E-13,8.257799,19.166765,1.0851571,PUM1,pumilio RNA binding family member 1
217895_at,1.90E-10,5.54E-13,8.257454,19.165086,0.6576327,PTCD3,pentatricopeptide repeat domain 3
336_at,2.02E-10,5.98E-13,-8.242203,19.090918,-0.7974696,TBXA2R,thromboxane A2 receptor
209894_at,2.10E-10,6.31E-13,-8.231615,19.039437,-0.7815166,LEPROT///LEPR,leptin receptor overlapping transcript///leptin receptor
213737_x_at,2.31E-10,7.04E-13,8.209894,18.933872,0.7128048,GOLGA8N,golgin A8 family member N
213988_s_at,2.38E-10,7.37E-13,-8.200726,18.889331,-1.132743,SAT1,spermidine/spermine N1-acetyltransferase 1
210778_s_at,2.45E-10,7.68E-13,8.19242,18.848984,1.7913443,MIR4800///MXD4,microRNA 4800///MAX dimerization protein 4
222147_s_at,2.93E-10,9.35E-13,8.153226,18.658699,0.7215477,ACTR5,ARP5 actin-related protein 5 homolog
210031_at,3.29E-10,1.07E-12,8.125687,18.525102,1.1161626,CD247,CD247 molecule
217828_at,3.29E-10,1.08E-12,8.124835,18.520973,0.6020789,SLTM,SAFB like transcription modulator
201241_at,3.46E-10,1.15E-12,8.1123,18.460195,0.835708,DDX1,DEAD/H-box helicase 1
212061_at,3.59E-10,1.21E-12,8.102218,18.411323,0.794056,U2SURP,U2 snRNP associated SURP domain containing
215813_s_at,4.07E-10,1.39E-12,-8.074542,18.277227,-0.9552873,PTGS1,prostaglandin-endoperoxide synthase 1
221548_s_at,4.43E-10,1.54E-12,8.05349,18.175289,0.638552,ILKAP,ILK associated serine/threonine phosphatase
201394_s_at,4.43E-10,1.56E-12,8.050812,18.162326,0.6398836,RBM5,RNA binding motif protein 5
212077_at,4.43E-10,1.57E-12,-8.049506,18.156003,-1.2275196,CALD1,caldesmon 1
214073_at,5.35E-10,1.92E-12,-8.009525,17.962572,-1.8548111,CTTN,cortactin
201221_s_at,5.38E-10,1.96E-12,8.005785,17.944488,0.8130241,SNRNP70,small nuclear ribonucleoprotein U1 subunit 70
212687_at,5.45E-10,2.00E-12,-8.000849,17.920627,-0.9202573,LIMS4///LIMS3///LIMS1,LIM zinc finger domain containing 4///LIM zinc finger domain containing 3///LIM zinc finger domain containing 1
220646_s_at,5.61E-10,2.11E-12,7.990587,17.87102,1.7273161,KLRF1,killer cell lectin like receptor F1
212798_s_at,5.61E-10,2.11E-12,7.990234,17.869313,0.5399173,ANKMY2,ankyrin repeat and MYND domain containing 2
222034_at,5.62E-10,2.14E-12,7.987406,17.855646,0.5994682,SNORD96A///SNORD95///RACK1,"small nucleolar RNA, C/D box 96A///small nucleolar RNA, C/D box 95///receptor for activated C kinase 1"
202426_s_at,5.83E-10,2.25E-12,-7.977785,17.809158,-1.1147681,RXRA,retinoid X receptor alpha
220143_x_at,6.07E-10,2.37E-12,7.967354,17.758768,0.5698306,LUC7L,LUC7 like
208924_at,6.09E-10,2.41E-12,-7.964287,17.743957,-0.5693076,RNF11,ring finger protein 11
203305_at,6.67E-10,2.66E-12,-7.943847,17.645264,-1.0817124,F13A1,coagulation factor XIII A chain
216841_s_at,7.18E-10,2.90E-12,-7.926857,17.563266,-1.3318746,LOC100129518///SOD2,"uncharacterized LOC100129518///superoxide dismutase 2, mitochondrial"
214146_s_at,7.37E-10,3.01E-12,-7.919273,17.526679,-0.8403538,PPBP,pro-platelet basic protein
207206_s_at,7.48E-10,3.09E-12,-7.91409,17.501681,-1.006427,ALOX12,"arachidonate 12-lipoxygenase, 12S type"
207550_at,8.15E-10,3.43E-12,-7.89337,17.401772,-1.4090381,MPL,"MPL proto-oncogene, thrombopoietin receptor"
214805_at,8.15E-10,3.44E-12,7.892762,17.398845,1.0854858,SNORD10///SNORA48///SNORA67///EIF4A1,"small nucleolar RNA, C/D box 10///small nucleolar RNA, H/ACA box 48///small nucleolar RNA, H/ACA box 67///eukaryotic translation initiation factor 4A1"
203043_at,8.27E-10,3.52E-12,-7.887652,17.374216,-0.5953612,ZBED1,zinc finger BED-type containing 1
203822_s_at,8.29E-10,3.57E-12,7.885036,17.361604,0.7267412,ELF2,E74 like ETS transcription factor 2
210987_x_at,8.56E-10,3.72E-12,-7.876567,17.320798,-0.9913438,TPM1,tropomyosin 1 (alpha)
204470_at,8.70E-10,3.83E-12,-7.871205,17.294967,-1.9430396,CXCL1,C-X-C motif chemokine ligand 1
209301_at,1.01E-09,4.50E-12,-7.838658,17.138251,-1.4577364,CA2,carbonic anhydrase 2
212454_x_at,1.06E-09,4.76E-12,7.827082,17.082546,0.5034777,HNRNPDL,heterogeneous nuclear ribonucleoprotein D like
217917_s_at,1.08E-09,4.93E-12,-7.820316,17.049999,-0.4952157,DYNLRB1,dynein light chain roadblock-type 1
201470_at,1.08E-09,4.93E-12,-7.820017,17.04856,-0.6820534,GSTO1,glutathione S-transferase omega 1
200875_s_at,1.11E-09,5.12E-12,7.812791,17.013804,0.7099601,MIR1292///SNORD110///SNORD86///SNORD57///NOP56,"microRNA 1292///small nucleolar RNA, C/D box 110///small nucleolar RNA, C/D box 86///small nucleolar RNA, C/D box 57///NOP56 ribonucleoprotein"
220966_x_at,1.11E-09,5.19E-12,7.809848,16.999655,0.5960949,ARPC5L,actin related protein 2/3 complex subunit 5 like
202006_at,1.24E-09,5.83E-12,-7.78661,16.88795,-0.5632684,PTPN12,"protein tyrosine phosphatase, non-receptor type 12"
202436_s_at,1.65E-09,7.85E-12,-7.726558,16.599643,-1.3573522,CYP1B1,cytochrome P450 family 1 subfamily B member 1
202361_at,1.67E-09,8.02E-12,7.722222,16.578849,0.6400664,SEC24C,"SEC24 homolog C, COPII coat complex component"
218280_x_at,1.88E-09,9.13E-12,-7.696044,16.453357,-0.7210731,HIST2H2AA4///HIST2H2AA3,"histone cluster 2, H2aa4///histone cluster 2, H2aa3"
207414_s_at,1.94E-09,9.47E-12,-7.688573,16.417565,-1.6861037,LOC100507472///PCSK6,uncharacterized LOC100507472///proprotein convertase subtilisin/kexin type 6
218315_s_at,2.00E-09,9.87E-12,7.680204,16.377476,0.7276111,CDK5RAP1,CDK5 regulatory subunit associated protein 1
218243_at,2.00E-09,1.00E-11,-7.677436,16.364222,-0.7071565,RUFY1,RUN and FYVE domain containing 1
203817_at,2.00E-09,1.01E-11,-7.67556,16.355239,-1.0591017,GUCY1B3,guanylate cyclase 1 soluble subunit beta
200748_s_at,2.00E-09,1.01E-11,-7.674926,16.352202,-0.5316206,FTH1,ferritin heavy chain 1
206115_at,2.09E-09,1.07E-11,-7.664203,16.300864,-1.192115,EGR3,early growth response 3
203246_s_at,2.16E-09,1.12E-11,7.655601,16.259691,2.1956996,NPRL2,"NPR2-like, GATOR1 complex subunit"
204346_s_at,2.18E-09,1.13E-11,7.652144,16.243152,0.7121061,RASSF1,Ras association domain family member 1
208792_s_at,2.36E-09,1.24E-11,-7.634079,16.156737,-1.2341791,CLU,clusterin
208527_x_at,2.41E-09,1.28E-11,-7.627587,16.125697,-0.6977959,HIST1H2BE,"histone cluster 1, H2be"
216323_x_at,2.41E-09,1.29E-11,-7.626868,16.122259,-0.4480602,TUBA3D///TUBA3C,tubulin alpha 3d///tubulin alpha 3c
203082_at,2.44E-09,1.31E-11,7.622355,16.100683,0.77117,BMS1,"BMS1, ribosome biogenesis factor"
209154_at,2.49E-09,1.35E-11,-7.616223,16.071375,-0.8246756,P2RX5-TAX1BP3///TAX1BP3,P2RX5-TAX1BP3 readthrough (NMD candidate)///Tax1 binding protein 3
221676_s_at,2.64E-09,1.45E-11,-7.602912,16.007771,-0.6641241,CORO1C,coronin 1C
201584_s_at,2.68E-09,1.48E-11,7.598152,15.985038,0.7809601,DDX39A,DEAD-box helicase 39A
220964_s_at,2.73E-09,1.53E-11,-7.591392,15.952751,-0.6471818,RAB1B,"RAB1B, member RAS oncogene family"
201837_s_at,2.73E-09,1.54E-11,7.590529,15.948632,0.5625385,SUPT7L,SPT7-like STAGA complex gamma subunit
206465_at,2.73E-09,1.54E-11,-7.590067,15.946427,-1.3146062,ACSBG1,acyl-CoA synthetase bubblegum family member 1
213535_s_at,2.74E-09,1.56E-11,7.587761,15.935417,0.4117088,UBE2I,ubiquitin conjugating enzyme E2 I
203164_at,2.77E-09,1.59E-11,7.583867,15.916825,0.6608704,SLC33A1,solute carrier family 33 member 1
200027_at,2.95E-09,1.71E-11,7.569462,15.848076,0.512712,NARS,asparaginyl-tRNA synthetase
209130_at,3.06E-09,1.78E-11,-7.560514,15.805385,-0.58799,SNAP23,synaptosome associated protein 23
200864_s_at,3.12E-09,1.84E-11,-7.55398,15.774223,-0.4625815,RAB11A,"RAB11A, member RAS oncogene family"
214032_at,3.12E-09,1.85E-11,7.553247,15.770728,1.1811079,ZAP70,zeta chain of T cell receptor associated protein kinase 70
205249_at,3.16E-09,1.89E-11,-7.548903,15.75001,-1.4524045,EGR2,early growth response 2
208634_s_at,3.16E-09,1.90E-11,7.547478,15.743217,0.7832154,MACF1,microtubule-actin crosslinking factor 1
37986_at,3.20E-09,1.94E-11,-7.543319,15.723388,-0.6331819,EPOR,erythropoietin receptor
214093_s_at,3.23E-09,1.97E-11,7.539995,15.707543,0.8944802,FUBP1,far upstream element binding protein 1
201058_s_at,3.39E-09,2.09E-11,-7.528228,15.651468,-2.5909857,MYL9,myosin light chain 9
210986_s_at,3.39E-09,2.10E-11,-7.527448,15.647751,-1.0509904,TPM1,tropomyosin 1 (alpha)
214567_s_at,3.40E-09,2.12E-11,7.525353,15.637772,1.7590618,XCL2///XCL1,X-C motif chemokine ligand 2///X-C motif chemokine ligand 1
207840_at,3.52E-09,2.21E-11,7.516554,15.595859,1.3031725,CD160,CD160 molecule
209117_at,3.99E-09,2.54E-11,-7.488756,15.463535,-0.6054591,WBP2,WW domain binding protein 2
212030_at,3.99E-09,2.54E-11,7.488659,15.463072,0.7145802,RBM25,RNA binding motif protein 25
201608_s_at,4.13E-09,2.65E-11,7.479894,15.421376,0.4815356,PWP1,"PWP1 homolog, endonuclein"
202228_s_at,4.13E-09,2.67E-11,-7.478445,15.414483,-0.5120539,NPTN,neuroplastin
218798_at,4.14E-09,2.71E-11,7.475464,15.400306,1.6451704,KRI1,KRI1 homolog
206655_s_at,4.14E-09,2.71E-11,-7.475161,15.398869,-1.3914774,SEPT5-GP1BB///SEPT5///GP1BB,SEPT5-GP1BB readthrough///septin 5///glycoprotein Ib platelet beta subunit
213142_x_at,4.45E-09,2.94E-11,7.459294,15.323435,0.811216,GSAP,gamma-secretase activating protein
212573_at,4.69E-09,3.11E-11,-7.4472,15.265971,-0.604821,ENDOD1,endonuclease domain containing 1
211594_s_at,4.85E-09,3.26E-11,7.437668,15.220694,0.8042222,MRPL9,mitochondrial ribosomal protein L9
212262_at,4.85E-09,3.27E-11,-7.437453,15.219675,-0.5773861,QKI,"QKI, KH domain containing RNA binding"
202665_s_at,5.01E-09,3.39E-11,-7.429745,15.183077,-0.5483739,WIPF1,WAS/WASL interacting protein family member 1
203241_at,5.33E-09,3.64E-11,7.415594,15.115915,0.6190182,UVRAG,UV radiation resistance associated
213836_s_at,5.37E-09,3.69E-11,-7.412649,15.101942,-0.8103191,WIPI1,"WD repeat domain, phosphoinositide interacting 1"
222018_at,5.44E-09,3.77E-11,7.408117,15.080441,0.8649776,NACA,nascent polypeptide-associated complex alpha subunit
212036_s_at,5.44E-09,3.78E-11,7.407708,15.078503,0.7822698,PNN,"pinin, desmosome associated protein"
212287_at,5.45E-09,3.82E-11,7.405872,15.069794,0.6368277,SUZ12,SUZ12 polycomb repressive complex 2 subunit
221919_at,5.62E-09,3.97E-11,7.397661,15.030854,0.8015957,HNRNPA1,heterogeneous nuclear ribonucleoprotein A1
206698_at,5.62E-09,3.98E-11,-7.396994,15.027691,-1.1791465,XK,X-linked Kx blood group
212531_at,5.63E-09,4.02E-11,-7.395175,15.019067,-1.1979157,LCN2,lipocalin 2
202878_s_at,5.66E-09,4.09E-11,-7.391867,15.003385,-0.9026095,CD93,CD93 molecule
212187_x_at,5.66E-09,4.09E-11,7.391581,15.002027,1.121416,PTGDS,prostaglandin D2 synthase
222000_at,5.71E-09,4.15E-11,7.388779,14.988747,0.4745816,C1orf174,chromosome 1 open reading frame 174
208546_x_at,6.33E-09,4.63E-11,-7.366323,14.882352,-1.2073592,HIST1H2BH,"histone cluster 1, H2bh"
202789_at,7.26E-09,5.34E-11,7.337197,14.744498,0.8047084,PLCG1,phospholipase C gamma 1
221427_s_at,7.43E-09,5.50E-11,7.331063,14.715484,1.5210082,CCNL2,cyclin L2
218716_x_at,8.15E-09,6.07E-11,7.311012,14.620699,0.5159635,MTO1,mitochondrial tRNA translation optimization 1
214092_x_at,8.28E-09,6.21E-11,7.30638,14.598813,0.7688093,SUGP2,SURP and G-patch domain containing 2
211960_s_at,8.49E-09,6.40E-11,-7.300177,14.569508,-0.637311,RAB7A,"RAB7A, member RAS oncogene family"
221989_at,8.71E-09,6.61E-11,7.293671,14.538786,0.7995478,SNORA70///RPL10,"small nucleolar RNA, H/ACA box 70///ribosomal protein L10"
206272_at,8.81E-09,6.72E-11,-7.290111,14.521975,-0.6668012,SPHAR///RAB4A,"S-phase response (cyclin related)///RAB4A, member RAS oncogene family"
202983_at,8.91E-09,6.84E-11,7.286696,14.505854,0.6472634,HLTF,helicase like transcription factor
218405_at,9.04E-09,7.01E-11,7.281519,14.481418,0.6254215,ABT1,activator of basal transcription 1
207157_s_at,9.04E-09,7.02E-11,-7.281222,14.480014,-0.5329019,GNG5,G protein subunit gamma 5
201456_s_at,9.45E-09,7.38E-11,7.271062,14.432074,0.7566385,BUB3,"BUB3, mitotic checkpoint protein"
221773_at,9.70E-09,7.62E-11,-7.264514,14.401186,-0.5870287,ELK3,"ELK3, ETS transcription factor"
203202_at,1.01E-08,7.99E-11,7.254623,14.354546,0.6687074,KRR1,"KRR1, small subunit processome component homolog"
201920_at,1.08E-08,8.61E-11,7.239502,14.283282,0.5107354,SLC20A1,solute carrier family 20 member 1
209015_s_at,1.14E-08,9.10E-11,-7.22798,14.22901,-0.759729,DNAJB6,DnaJ heat shock protein family (Hsp40) member B6
208540_x_at,1.20E-08,9.65E-11,-7.215919,14.17223,-0.9083308,,
212591_at,1.21E-08,9.75E-11,7.213862,14.162545,0.7343611,ARID4B///RBM34,AT-rich interaction domain 4B///RNA binding motif protein 34
64432_at,1.23E-08,9.99E-11,7.20896,14.139478,0.860783,MAPKAPK5-AS1,MAPKAPK5 antisense RNA 1
207156_at,1.23E-08,1.00E-10,-7.208003,14.134975,-1.2345285,HIST1H2AH///HIST1H2AG///HIST1H2AM///HIST1H2AL///HIST1H2AK///HIST1H2AI,"histone cluster 1, H2ah///histone cluster 1, H2ag///histone cluster 1, H2am///histone cluster 1, H2al///histone cluster 1, H2ak///histone cluster 1, H2ai"
201478_s_at,1.29E-08,1.06E-10,7.196333,14.080083,0.8016222,MIR664B///SNORA56///DKC1,"microRNA 664b///small nucleolar RNA, H/ACA box 56///dyskerin pseudouridine synthase 1"
212154_at,1.30E-08,1.08E-10,-7.193121,14.064979,-2.2951337,SDC2,syndecan 2
202187_s_at,1.30E-08,1.08E-10,7.19233,14.061256,0.4057658,PPP2R5A,protein phosphatase 2 regulatory subunit B'alpha
207815_at,1.32E-08,1.10E-10,-7.188574,14.043598,-1.9645146,PF4V1,platelet factor 4 variant 1
200645_at,1.36E-08,1.14E-10,-7.181721,14.011387,-0.4516619,GABARAP,GABA type A receptor-associated protein
208791_at,1.43E-08,1.21E-10,-7.169093,13.952054,-1.1690475,CLU,clusterin
200080_s_at,1.43E-08,1.21E-10,-7.169043,13.951821,-0.3883774,H3F3AP4///H3F3B///H3F3A,"H3 histone, family 3A, pseudogene 4///H3 histone, family 3B///H3 histone, family 3A"
200609_s_at,1.43E-08,1.22E-10,-7.167919,13.94654,-0.4731302,WDR1,WD repeat domain 1
217997_at,1.46E-08,1.25E-10,-7.162997,13.923424,-1.4816264,PHLDA1,pleckstrin homology like domain family A member 1
201747_s_at,1.48E-08,1.28E-10,7.15726,13.896488,1.1509817,SAFB,scaffold attachment factor B
220404_at,1.48E-08,1.29E-10,-7.156979,13.89517,-1.4115512,ADGRG3,adhesion G protein-coupled receptor G3
200593_s_at,1.50E-08,1.31E-10,7.15358,13.87921,0.514088,HNRNPU,heterogeneous nuclear ribonucleoprotein U
214060_at,1.52E-08,1.33E-10,7.149902,13.861949,0.7435392,SSBP1,single stranded DNA binding protein 1
210011_s_at,1.55E-08,1.36E-10,7.145466,13.841133,0.410198,EWSR1,EWS RNA binding protein 1
215111_s_at,1.62E-08,1.43E-10,-7.134578,13.790052,-0.7266733,TSC22D1,TSC22 domain family member 1
204420_at,1.70E-08,1.51E-10,-7.124311,13.741911,-1.7712904,FOSL1,"FOS like 1, AP-1 transcription factor subunit"
205098_at,1.75E-08,1.56E-10,-7.116904,13.707197,-1.0718843,CCR1,C-C motif chemokine receptor 1
202664_at,1.77E-08,1.59E-10,-7.11337,13.690634,-0.6963435,WIPF1,WAS/WASL interacting protein family member 1
202974_at,1.77E-08,1.60E-10,-7.111822,13.683384,-0.9780887,MPP1,membrane palmitoylated protein 1
218168_s_at,1.77E-08,1.60E-10,7.111595,13.682317,0.5528979,COQ8A,coenzyme Q8A
218605_at,1.81E-08,1.65E-10,7.105829,13.655307,0.6450191,TFB2M,"transcription factor B2, mitochondrial"
204668_at,1.82E-08,1.66E-10,-7.103933,13.646427,-0.8175512,RNF24,ring finger protein 24
34408_at,1.88E-08,1.73E-10,-7.096289,13.610632,-0.7123029,RTN2,reticulon 2
212462_at,1.91E-08,1.77E-10,7.091215,13.58688,0.7719272,KAT6B,lysine acetyltransferase 6B
202897_at,1.96E-08,1.82E-10,-7.084854,13.557111,-0.7303436,SIRPA,signal regulatory protein alpha
212307_s_at,1.99E-08,1.86E-10,7.080609,13.537246,0.6873146,OGT,O-linked N-acetylglucosamine (GlcNAc) transferase
203827_at,2.03E-08,1.90E-10,-7.076259,13.516896,-0.9023259,WIPI1,"WD repeat domain, phosphoinositide interacting 1"
206116_s_at,2.06E-08,1.95E-10,-7.07154,13.494825,-0.9948025,TPM1,tropomyosin 1 (alpha)
213359_at,2.06E-08,1.95E-10,7.07097,13.49216,0.6384476,HNRNPD,heterogeneous nuclear ribonucleoprotein D
204069_at,2.10E-08,2.00E-10,-7.066307,13.470358,-0.7927655,MEIS1,Meis homeobox 1
218854_at,2.11E-08,2.01E-10,-7.064506,13.461938,-1.0103634,DSE,dermatan sulfate epimerase
201125_s_at,2.13E-08,2.04E-10,-7.061266,13.446788,-0.7598875,ITGB5,integrin subunit beta 5
212229_s_at,2.15E-08,2.07E-10,7.058237,13.432631,0.7879322,FBXO21,F-box protein 21
217845_x_at,2.17E-08,2.11E-10,-7.054748,13.416327,-0.533397,HIGD1A,HIG1 hypoxia inducible domain family member 1A
214430_at,2.17E-08,2.12E-10,-7.054218,13.413853,-0.5308462,GLA,galactosidase alpha
214455_at,2.18E-08,2.14E-10,-7.051877,13.402913,-1.0248304,HIST1H2BC///HIST1H2BI///HIST1H2BE///HIST1H2BF///HIST1H2BG,"histone cluster 1, H2bc///histone cluster 1, H2bi///histone cluster 1, H2be///histone cluster 1, H2bf///histone cluster 1, H2bg"
221036_s_at,2.18E-08,2.14E-10,-7.051704,13.402103,-0.5331688,APH1B,"aph-1 homolog B, gamma-secretase subunit"
219860_at,2.19E-08,2.16E-10,-7.050159,13.394886,-0.5237567,LY6G5C,"lymphocyte antigen 6 complex, locus G5C"
201694_s_at,2.21E-08,2.20E-10,-7.046339,13.377038,-1.3878836,EGR1,early growth response 1
220890_s_at,2.21E-08,2.21E-10,7.045566,13.373427,0.809441,APOLD1///DDX47,apolipoprotein L domain containing 1///DEAD-box helicase 47
