ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title
220496_at,1.12E-03,8.04E-07,5.3209593,5.52811,0.68236122,CLEC1B,C-type lectin domain family 1 member B
201121_s_at,1.13E-03,8.63E-07,5.3039065,5.4645,0.55190746,PGRMC1,progesterone receptor membrane component 1
222131_x_at,1.18E-03,9.53E-07,-5.2798965,5.37511,-0.61272906,RHOT2,ras homolog family member T2
211645_x_at,1.40E-03,1.21E-06,-5.221434,5.15826,-1.04712973,,
214669_x_at,1.40E-03,1.26E-06,-5.2125867,5.12554,-0.94467169,IGKC,immunoglobulin kappa constant
208924_at,1.50E-03,1.44E-06,5.1788883,5.00118,0.40100144,RNF11,ring finger protein 11
221651_x_at,1.50E-03,1.48E-06,-5.172526,4.97774,-0.73200234,IGK///IGKC,immunoglobulin kappa locus///immunoglobulin kappa constant
208179_x_at,1.78E-03,1.84E-06,-5.1195704,4.78322,-0.66317089,KIR2DL3,"killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 3"
202708_s_at,2.82E-03,3.03E-06,4.9953112,4.33075,0.70584391,HIST2H2BE,"histone cluster 2, H2be"
221671_x_at,2.93E-03,3.29E-06,-4.9753271,4.25852,-0.71681584,IGK///IGKC,immunoglobulin kappa locus///immunoglobulin kappa constant
214146_s_at,3.81E-03,4.44E-06,4.9001187,3.98802,0.61169079,PPBP,pro-platelet basic protein
204115_at,3.93E-03,4.76E-06,4.8826378,3.92546,0.85778635,GNG11,G protein subunit gamma 11
203547_at,4.35E-03,5.47E-06,-4.8476495,3.80061,-0.48234601,CD4,CD4 molecule
202378_s_at,4.38E-03,5.70E-06,4.8369566,3.76255,0.78805483,LEPROT,leptin receptor overlapping transcript
214676_x_at,4.55E-03,6.12E-06,-4.8191007,3.69909,-1.02788322,MUC3B,"mucin 3B, cell surface associated"
AFFX-M27830_5_at,4.57E-03,6.35E-06,-4.8096546,3.66558,-1.02445064,,
211881_x_at,5.07E-03,7.28E-06,-4.7750652,3.54315,-0.58029236,IGLJ3,immunoglobulin lambda joining 3
207621_s_at,5.11E-03,7.56E-06,-4.7654135,3.50908,-0.96162414,PEMT,phosphatidylethanolamine N-methyltransferase
217157_x_at,5.44E-03,8.29E-06,-4.7418166,3.42593,-0.5825454,IGK///IGKC,immunoglobulin kappa locus///immunoglobulin kappa constant
206606_at,5.44E-03,8.54E-06,4.7344278,3.39994,1.04912873,LIPC,"lipase C, hepatic type"
206019_at,6.01E-03,9.77E-06,-4.6998015,3.27846,-1.08592186,RBM19,RNA binding motif protein 19
209806_at,6.01E-03,1.01E-05,4.6916298,3.24986,0.59746086,HIST1H2BK,"histone cluster 1, H2bk"
220789_s_at,6.01E-03,1.02E-05,-4.6876884,3.23607,-0.99352677,SNORA5B///TBRG4,"small nucleolar RNA, H/ACA box 5B///transforming growth factor beta regulator 4"
211644_x_at,6.38E-03,1.12E-05,-4.6655307,3.15871,-1.28251841,IGK///IGKC,immunoglobulin kappa locus///immunoglobulin kappa constant
205127_at,6.46E-03,1.16E-05,4.6558903,3.12511,1.06382031,PTGS1,prostaglandin-endoperoxide synthase 1
217944_at,6.48E-03,1.19E-05,-4.6484337,3.09916,-0.75955616,POMGNT1,"protein O-linked mannose N-acetylglucosaminyltransferase 1 (beta 1,2-)"
200805_at,7.00E-03,1.32E-05,-4.6223884,3.00867,-0.39935102,LMAN2,"lectin, mannose binding 2"
200863_s_at,8.13E-03,1.59E-05,4.5740122,2.84139,0.2796881,RAB11A,"RAB11A, member RAS oncogene family"
204319_s_at,8.13E-03,1.61E-05,4.5713095,2.83208,0.44009935,RGS10,regulator of G-protein signaling 10
217783_s_at,8.55E-03,1.75E-05,4.5496104,2.7574,0.28036652,YPEL5,yippee like 5
212531_at,8.55E-03,1.77E-05,4.5466999,2.7474,0.90975697,LCN2,lipocalin 2
211663_x_at,9.16E-03,1.97E-05,-4.5174265,2.64702,-0.51813451,PTGDS,prostaglandin D2 synthase
36711_at,9.16E-03,1.99E-05,4.5147209,2.63776,0.77168207,MAFF,MAF bZIP transcription factor F
206057_x_at,9.16E-03,2.07E-05,-4.5046676,2.60339,-0.39691656,SPN,sialophorin
215071_s_at,9.16E-03,2.09E-05,4.5029686,2.59759,0.57570022,HIST1H2AC,"histone cluster 1, H2ac"
211048_s_at,9.16E-03,2.10E-05,-4.5017339,2.59337,-0.47075284,PDIA4,protein disulfide isomerase family A member 4
210332_at,1.03E-02,2.46E-05,4.4594437,2.44933,0.90320149,ACHE,acetylcholinesterase (Cartwright blood group)
214974_x_at,1.03E-02,2.49E-05,4.4565071,2.43936,0.92483752,CXCL5,C-X-C motif chemokine ligand 5
34868_at,1.03E-02,2.49E-05,-4.4559436,2.43745,-0.32482874,SMG5,"SMG5, nonsense mediated mRNA decay factor"
205442_at,1.03E-02,2.60E-05,4.4451676,2.40089,0.84887578,MFAP3L,microfibrillar associated protein 3 like
213003_s_at,1.03E-02,2.64E-05,-4.4410626,2.38698,-0.51752055,SPIDR,scaffolding protein involved in DNA repair
203680_at,1.03E-02,2.72E-05,4.4332869,2.36065,0.71425137,PRKAR2B,protein kinase cAMP-dependent type II regulatory subunit beta
217378_x_at,1.03E-02,2.72E-05,-4.4332069,2.36038,-1.70416224,IGKV1OR2-108,immunoglobulin kappa variable 1/OR2-108 (non-functional)
213351_s_at,1.03E-02,2.74E-05,4.4312405,2.35373,1.10124642,TMCC1,transmembrane and coiled-coil domain family 1
212187_x_at,1.03E-02,2.77E-05,-4.4280285,2.34286,-0.72020972,PTGDS,prostaglandin D2 synthase
209545_s_at,1.05E-02,2.87E-05,4.4184833,2.3106,0.49443131,RIPK2,receptor interacting serine/threonine kinase 2
217882_at,1.07E-02,2.98E-05,4.4085761,2.27716,0.39857724,EMC3,ER membrane protein complex subunit 3
201545_s_at,1.08E-02,3.10E-05,-4.3982607,2.2424,-0.45738235,BCL2L2-PABPN1///PABPN1,BCL2L2-PABPN1 readthrough///poly(A) binding protein nuclear 1
209138_x_at,1.08E-02,3.10E-05,-4.3982525,2.24237,-0.79872522,IGLC1,immunoglobulin lambda constant 1
216207_x_at,1.10E-02,3.24E-05,-4.386429,2.20258,-0.54463673,IGKC,immunoglobulin kappa constant
214307_at,1.10E-02,3.26E-05,4.3852339,2.19856,1.09150882,HGD,"homogentisate 1,2-dioxygenase"
208180_s_at,1.24E-02,3.72E-05,4.3499462,2.08021,0.82304111,HIST1H4H,"histone cluster 1, H4h"
208601_s_at,1.25E-02,3.80E-05,4.343726,2.05941,0.75726847,TUBB1,tubulin beta 1 class VI
204877_s_at,1.29E-02,4.00E-05,-4.3302706,2.01448,-0.44939568,TAOK2,TAO kinase 2
207668_x_at,1.31E-02,4.11E-05,-4.3226511,1.98907,-0.3806497,PDIA6,protein disulfide isomerase family A member 6
202978_s_at,1.33E-02,4.25E-05,-4.3141993,1.96092,-0.53722125,CREBZF,CREB/ATF bZIP transcription factor
212665_at,1.39E-02,4.48E-05,4.2994667,1.91194,0.58642978,TIPARP,TCDD inducible poly(ADP-ribose) polymerase
214187_x_at,1.42E-02,4.64E-05,4.2900393,1.88065,0.67356295,CTDSPL,CTD small phosphatase like
200930_s_at,1.42E-02,4.80E-05,4.2813187,1.85174,1.08947524,VCL,vinculin
212772_s_at,1.42E-02,4.84E-05,-4.2790227,1.84413,-0.32517459,ABCA2,ATP binding cassette subfamily A member 2
206110_at,1.42E-02,4.85E-05,4.2785356,1.84252,0.80306599,HIST1H3F///HIST1H3B///HIST1H3H///HIST1H3J///HIST1H3G///HIST1H3I///HIST1H3E///HIST1H3C///HIST1H3D///HIST1H3A,"histone cluster 1, H3f///histone cluster 1, H3b///histone cluster 1, H3h///histone cluster 1, H3j///histone cluster 1, H3g///histone cluster 1, H3i///histone cluster 1, H3e///histone cluster 1, H3c///histone cluster 1, H3d///histone cluster 1, H3a"
209301_at,1.50E-02,5.17E-05,4.2612677,1.78541,0.95332319,CA2,carbonic anhydrase 2
221893_s_at,1.52E-02,5.37E-05,-4.2505868,1.75016,-0.3230038,ADCK2,aarF domain containing kinase 2
207313_x_at,1.52E-02,5.41E-05,-4.2485649,1.74349,-0.52965471,KIR3DL2///KIR3DL1,"killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2///killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1"
218840_s_at,1.52E-02,5.62E-05,-4.2382267,1.70944,-0.65439381,NADSYN1,NAD synthetase 1
214617_at,1.52E-02,5.67E-05,-4.2358928,1.70176,-0.96677891,PRF1,perforin 1
216096_s_at,1.52E-02,5.69E-05,-4.2352089,1.6995,-1.0390702,NRXN1,neurexin 1
217963_s_at,1.52E-02,5.69E-05,4.234933,1.6986,0.6645623,BEX3,brain expressed X-linked 3
216576_x_at,1.52E-02,5.74E-05,-4.2326387,1.69105,-0.77931824,IGK///IGKC,immunoglobulin kappa locus///immunoglobulin kappa constant
211637_x_at,1.52E-02,5.79E-05,-4.2303788,1.68362,-1.28276178,IGHV3-23///IGHV4-31///IGHM///IGHG4///IGHG3///IGHG1///IGHD///IGHA2///IGHA1///IGH,immunoglobulin heavy variable 3-23///immunoglobulin heavy variable 4-31///immunoglobulin heavy constant mu///immunoglobulin heavy constant gamma 4 (G4m marker)///immunoglobulin heavy constant gamma 3 (G3m marker)///immunoglobulin heavy constant gamma 1 (G1m marker)///immunoglobulin heavy constant delta///immunoglobulin heavy constant alpha 2 (A2m marker)///immunoglobulin heavy constant alpha 1///immunoglobulin heavy locus
209447_at,1.53E-02,5.89E-05,-4.2258764,1.66882,-0.54428,SYNE1,spectrin repeat containing nuclear envelope protein 1
214880_x_at,1.53E-02,5.99E-05,4.2212566,1.65365,1.16574052,CALD1,caldesmon 1
217805_at,1.53E-02,6.02E-05,-4.2195571,1.64807,-0.25433558,ILF3,interleukin enhancer binding factor 3
216853_x_at,1.53E-02,6.10E-05,-4.2161336,1.63683,-0.95405804,IGLJ3,immunoglobulin lambda joining 3
203392_s_at,1.59E-02,6.42E-05,-4.2020496,1.59067,-0.30459614,CTBP1,C-terminal binding protein 1
215579_at,1.59E-02,6.49E-05,4.1990878,1.58098,0.67581624,APOBEC3G,apolipoprotein B mRNA editing enzyme catalytic subunit 3G
204979_s_at,1.68E-02,6.95E-05,-4.1806751,1.52081,-0.87137494,SH3BGR,SH3 domain binding glutamate rich protein
202377_at,1.76E-02,7.33E-05,4.1658265,1.47241,0.37601955,LEPROT,leptin receptor overlapping transcript
216640_s_at,1.76E-02,7.41E-05,-4.1630732,1.46344,-0.34986905,PDIA6,protein disulfide isomerase family A member 6
208806_at,1.76E-02,7.57E-05,-4.1569622,1.44356,-0.41565369,CHD3,chromodomain helicase DNA binding protein 3
210076_x_at,1.76E-02,7.65E-05,-4.1542666,1.4348,-0.25439452,SERBP1,SERPINE1 mRNA binding protein 1
217216_x_at,1.76E-02,7.68E-05,4.1529968,1.43067,0.44292719,MLH3,mutL homolog 3
221253_s_at,1.76E-02,7.72E-05,-4.1516429,1.42627,-0.46004406,BLOC1S5-TXNDC5///TXNDC5,BLOC1S5-TXNDC5 readthrough (NMD candidate)///thioredoxin domain containing 5
206314_at,1.76E-02,7.80E-05,-4.1489012,1.41737,-1.10246676,ZKSCAN7,zinc finger with KRAB and SCAN domains 7
214779_s_at,1.84E-02,8.25E-05,-4.1335998,1.36774,-0.45466959,SGSM3,small G protein signaling modulator 3
211448_s_at,1.94E-02,8.80E-05,4.1156183,1.30957,0.67101144,RGS6,regulator of G-protein signaling 6
214677_x_at,1.95E-02,8.91E-05,-4.1121731,1.29844,-0.79346216,IGLC1,immunoglobulin lambda constant 1
206056_x_at,1.95E-02,9.03E-05,-4.1085598,1.28678,-1.13003511,SPN,sialophorin
202320_at,1.95E-02,9.12E-05,-4.1057152,1.2776,-1.12913429,GTF3C1,general transcription factor IIIC subunit 1
211798_x_at,1.97E-02,9.26E-05,-4.1015741,1.26425,-0.75313137,IGLJ3,immunoglobulin lambda joining 3
208807_s_at,1.99E-02,9.49E-05,-4.0948272,1.24251,-0.29888884,CHD3,chromodomain helicase DNA binding protein 3
AFFX-r2-Hs18SrRNA-3_s_at,1.99E-02,9.55E-05,-4.0931633,1.23715,-0.6630651,,
213977_s_at,2.02E-02,9.77E-05,-4.0867738,1.2166,-0.47627524,CIZ1,CDKN1A interacting zinc finger protein 1
203817_at,2.02E-02,9.87E-05,4.0840155,1.20773,0.72105476,GUCY1B3,guanylate cyclase 1 soluble subunit beta
214525_x_at,2.03E-02,1.00E-04,4.0790068,1.19163,0.50117131,MLH3,mutL homolog 3
205508_at,2.06E-02,1.03E-04,4.0725425,1.17088,0.40386531,SCN1B,sodium voltage-gated channel beta subunit 1
214073_at,2.16E-02,1.09E-04,4.0557069,1.11694,0.99492221,CTTN,cortactin
201569_s_at,2.16E-02,1.10E-04,-4.0544259,1.11284,-0.34552646,SAMM50,SAMM50 sorting and assembly machinery component
208644_at,2.18E-02,1.12E-04,-4.0494157,1.09682,-0.28522507,PARP1,poly(ADP-ribose) polymerase 1
205221_at,2.19E-02,1.13E-04,4.0464393,1.08731,0.96261926,HGD,"homogentisate 1,2-dioxygenase"
215946_x_at,2.19E-02,1.16E-04,-4.0396257,1.06555,-0.64640403,IGLL3P,"immunoglobulin lambda like polypeptide 3, pseudogene"
213502_x_at,2.19E-02,1.16E-04,-4.0387363,1.06271,-0.45064401,GUSBP11,"glucuronidase, beta pseudogene 11"
208214_at,2.19E-02,1.17E-04,4.0368613,1.05673,0.83836613,ADRB1,adrenoceptor beta 1
208325_s_at,2.19E-02,1.17E-04,4.0363341,1.05505,0.52762617,AKAP13,A-kinase anchoring protein 13
216836_s_at,2.26E-02,1.23E-04,-4.0234006,1.01384,-0.66346961,ERBB2,erb-b2 receptor tyrosine kinase 2
200707_at,2.26E-02,1.23E-04,-4.0215348,1.0079,-0.33569441,PRKCSH,protein kinase C substrate 80K-H
34408_at,2.26E-02,1.24E-04,4.0212502,1.00699,0.51235947,RTN2,reticulon 2
217179_x_at,2.30E-02,1.27E-04,-4.0140072,0.98396,-0.66382483,BMS1P20,"BMS1, ribosome biogenesis factor pseudogene 20"
210216_x_at,2.54E-02,1.42E-04,-3.9817344,0.88167,-0.31991596,RAD1,RAD1 checkpoint DNA exonuclease
214450_at,2.54E-02,1.43E-04,-3.981139,0.87979,-0.64495652,CTSW,cathepsin W
215431_at,2.56E-02,1.45E-04,3.976786,0.86604,0.63864841,SNTB1,syntrophin beta 1
200622_x_at,2.62E-02,1.49E-04,3.9679721,0.83822,0.35924577,CALM3///CALM2///CALM1,calmodulin 3///calmodulin 2///calmodulin 1
200665_s_at,2.67E-02,1.53E-04,3.9603429,0.81417,0.67383977,SPARC,secreted protein acidic and cysteine rich
204316_at,2.67E-02,1.55E-04,3.9583845,0.80801,0.30073055,RGS10,regulator of G-protein signaling 10
208786_s_at,2.68E-02,1.56E-04,3.9548601,0.79691,0.30726269,MAP1LC3B,microtubule associated protein 1 light chain 3 beta
201746_at,2.70E-02,1.59E-04,-3.9494964,0.78004,-0.372019,TP53,tumor protein p53
215121_x_at,2.70E-02,1.60E-04,-3.9481789,0.7759,-0.85003301,CYAT1///IGLV1-44///IGLC1,immunoglobulin lambda light chain-like///immunoglobulin lambda variable 1-44///immunoglobulin lambda constant 1
215217_at,2.73E-02,1.64E-04,-3.9419263,0.75626,-0.54345236,IGKC,immunoglobulin kappa constant
214667_s_at,2.73E-02,1.65E-04,3.9404763,0.75171,0.78107244,TP53I11,tumor protein p53 inducible protein 11
221896_s_at,2.73E-02,1.66E-04,3.9379226,0.74369,0.51439876,HIGD1A,HIG1 hypoxia inducible domain family member 1A
210921_at,2.73E-02,1.69E-04,3.9337614,0.73064,0.63570805,LOC101929078,"myb-related transcription factor, partner of profilin-like"
211827_s_at,2.73E-02,1.69E-04,3.9334881,0.72978,1.0896476,KCND3,potassium voltage-gated channel subfamily D member 3
221419_s_at,2.73E-02,1.69E-04,3.933459,0.72969,0.3852876,,
205692_s_at,2.73E-02,1.70E-04,-3.9309049,0.72169,-0.63752167,CD38,CD38 molecule
37201_at,2.77E-02,1.74E-04,-3.9246744,0.70217,-0.32469967,ITIH4,inter-alpha-trypsin inhibitor heavy chain family member 4
203727_at,2.82E-02,1.78E-04,-3.9179581,0.68116,-0.2607795,SKIV2L,Ski2 like RNA helicase
217148_x_at,2.85E-02,1.82E-04,-3.91266,0.6646,-0.61640827,IGLJ3///IGLV@///IGLC1,immunoglobulin lambda joining 3///immunoglobulin lambda variable cluster///immunoglobulin lambda constant 1
201361_at,2.86E-02,1.84E-04,-3.9094506,0.65458,-0.25592367,TMEM109,transmembrane protein 109
202589_at,2.87E-02,1.85E-04,-3.9070934,0.64722,-0.45131303,TYMS,thymidylate synthetase
211178_s_at,2.89E-02,1.90E-04,-3.899295,0.6229,-0.43853375,PSTPIP1,proline-serine-threonine phosphatase interacting protein 1
213655_at,2.89E-02,1.91E-04,3.8979696,0.61876,0.48785583,,
211748_x_at,2.89E-02,1.92E-04,-3.8973255,0.61676,-0.62587996,PTGDS,prostaglandin D2 synthase
212939_at,2.89E-02,1.93E-04,3.8956474,0.61153,0.43177338,COL6A1,collagen type VI alpha 1 chain
217022_s_at,2.89E-02,1.93E-04,-3.8950833,0.60977,-1.27978539,IGHA2///IGHA1///IGH,immunoglobulin heavy constant alpha 2 (A2m marker)///immunoglobulin heavy constant alpha 1///immunoglobulin heavy locus
208336_s_at,2.96E-02,2.01E-04,-3.8840668,0.57549,-0.48646558,TECR,"trans-2,3-enoyl-CoA reductase"
215101_s_at,2.96E-02,2.01E-04,3.8839576,0.57516,1.2096989,CXCL5,C-X-C motif chemokine ligand 5
204591_at,3.00E-02,2.04E-04,3.8788452,0.55927,1.15253384,CHL1,cell adhesion molecule L1 like
204756_at,3.02E-02,2.08E-04,-3.8743382,0.54528,-0.78425643,MAP2K5,mitogen-activated protein kinase kinase 5
209185_s_at,3.05E-02,2.11E-04,3.8695985,0.53058,0.40884837,IRS2,insulin receptor substrate 2
217077_s_at,3.05E-02,2.12E-04,-3.8685816,0.52742,-0.89793032,GABBR2,gamma-aminobutyric acid type B receptor subunit 2
208791_at,3.05E-02,2.14E-04,3.8659877,0.51939,0.76318373,CLU,clusterin
217480_x_at,3.10E-02,2.19E-04,-3.8596752,0.49984,-0.43448517,IGKV1OR2-118,immunoglobulin kappa variable 1/OR2-118 (pseudogene)
216365_x_at,3.10E-02,2.21E-04,-3.8570816,0.49181,-1.00415032,IGLJ3///CKAP2,immunoglobulin lambda joining 3///cytoskeleton associated protein 2
210774_s_at,3.10E-02,2.21E-04,3.8562325,0.48918,0.33491771,NCOA4,nuclear receptor coactivator 4
220094_s_at,3.12E-02,2.24E-04,3.8528472,0.47872,0.46658193,MCUR1,mitochondrial calcium uniporter regulator 1
212989_at,3.23E-02,2.37E-04,-3.8368237,0.42925,-0.36326908,SGMS1,sphingomyelin synthase 1
216401_x_at,3.23E-02,2.37E-04,-3.8361791,0.42726,-1.08735405,MLIP,muscular LMNA-interacting protein
215847_at,3.23E-02,2.38E-04,-3.8355846,0.42543,-0.94534776,LOC101930458///HERC2P3,uncharacterized LOC101930458///hect domain and RLD 2 pseudogene 3
208817_at,3.23E-02,2.38E-04,-3.8352513,0.4244,-0.34966753,COMT,catechol-O-methyltransferase
203585_at,3.25E-02,2.41E-04,3.8316037,0.41317,0.45036647,ZNF185,zinc finger protein 185 (LIM domain)
201675_at,3.27E-02,2.44E-04,-3.8283729,0.40322,-0.36938954,AKAP1,A-kinase anchoring protein 1
209773_s_at,3.27E-02,2.46E-04,-3.8261216,0.39629,-0.3635252,RRM2,ribonucleotide reductase regulatory subunit M2
207509_s_at,3.27E-02,2.47E-04,-3.8239709,0.38968,-0.61427675,LAIR2,leukocyte associated immunoglobulin like receptor 2
214211_at,3.27E-02,2.48E-04,3.8231622,0.38719,0.42469586,FTH1,ferritin heavy chain 1
203091_at,3.38E-02,2.58E-04,-3.8124853,0.35439,-0.44404786,FUBP1,far upstream element binding protein 1
202458_at,3.38E-02,2.59E-04,-3.8103003,0.34769,-1.26390809,PRSS23,"protease, serine 23"
37652_at,3.40E-02,2.62E-04,-3.8073335,0.33859,-0.39276899,CABIN1,calcineurin binding protein 1
208757_at,3.43E-02,2.68E-04,-3.801312,0.32013,-0.38080797,TMED9,transmembrane p24 trafficking protein 9
205412_at,3.43E-02,2.68E-04,-3.8010871,0.31945,-0.32692041,ACAT1,acetyl-CoA acetyltransferase 1
218921_at,3.46E-02,2.72E-04,-3.7967577,0.30619,-0.3995062,SIGIRR,single Ig and TIR domain containing
204040_at,3.46E-02,2.73E-04,-3.7951019,0.30112,-0.9665007,RNF144A,ring finger protein 144A
201774_s_at,3.49E-02,2.77E-04,-3.7914032,0.28981,-0.4232324,NCAPD2,non-SMC condensin I complex subunit D2
209950_s_at,3.51E-02,2.80E-04,-3.7878437,0.27893,-0.62392839,VILL,villin like
212687_at,3.52E-02,2.82E-04,3.7857652,0.27258,0.52723862,LIMS4///LIMS3///LIMS1,LIM zinc finger domain containing 4///LIM zinc finger domain containing 3///LIM zinc finger domain containing 1
211200_s_at,3.52E-02,2.84E-04,3.7837277,0.26636,1.1188207,EFCAB2,EF-hand calcium binding domain 2
201349_at,3.64E-02,2.96E-04,-3.7724165,0.23187,-0.33967505,SLC9A3R1,SLC9A3 regulator 1
214551_s_at,3.73E-02,3.05E-04,-3.7632766,0.20404,-0.71653137,CD7,CD7 molecule
220646_s_at,3.73E-02,3.06E-04,-3.7621728,0.20069,-1.03631568,KLRF1,killer cell lectin like receptor F1
207287_at,3.73E-02,3.09E-04,3.7596327,0.19296,0.81416111,BIN3-IT1,BIN3 intronic transcript 1
212077_at,3.73E-02,3.10E-04,3.7587236,0.1902,0.83335786,CALD1,caldesmon 1
209882_at,3.80E-02,3.17E-04,3.7518816,0.16942,0.46022581,RIT1,Ras like without CAAX 1
210371_s_at,3.82E-02,3.20E-04,-3.7491368,0.16109,-0.34129069,RBBP4,"RB binding protein 4, chromatin remodeling factor"
218094_s_at,3.83E-02,3.23E-04,-3.7463333,0.15259,-0.30414969,SYS1-DBNDD2///SYS1///DBNDD2,SYS1-DBNDD2 readthrough (NMD candidate)///Sys1 golgi trafficking protein///dysbindin domain containing 2
216410_at,3.87E-02,3.30E-04,3.7402026,0.13401,0.51601382,,
202859_x_at,3.87E-02,3.32E-04,3.738589,0.12913,0.52355271,CXCL8,C-X-C motif chemokine ligand 8
221211_s_at,3.87E-02,3.32E-04,3.7383924,0.12853,0.69777269,MAP3K7CL,MAP3K7 C-terminal like
221160_s_at,3.87E-02,3.36E-04,3.7351707,0.11878,1.00667681,CABP5,calcium binding protein 5
215905_s_at,3.87E-02,3.36E-04,-3.7348169,0.11771,-0.44336042,SNRNP40,small nuclear ribonucleoprotein U5 subunit 40
214941_s_at,3.87E-02,3.37E-04,3.7346741,0.11728,0.72844622,PRPF40A,pre-mRNA processing factor 40 homolog A
214593_at,3.89E-02,3.42E-04,-3.7298147,0.10259,-1.00244797,PIAS2,protein inhibitor of activated STAT 2
210493_s_at,3.89E-02,3.43E-04,3.72868,0.09916,0.67810108,MFAP3L,microfibrillar associated protein 3 like
220684_at,3.89E-02,3.46E-04,-3.7267635,0.09337,-0.50481508,TBX21,T-box 21
205128_x_at,3.89E-02,3.46E-04,3.7267498,0.09333,0.56802703,PTGS1,prostaglandin-endoperoxide synthase 1
203725_at,3.92E-02,3.50E-04,3.7234501,0.08336,0.43664137,GADD45A,growth arrest and DNA damage inducible alpha
216907_x_at,3.92E-02,3.52E-04,-3.7213884,0.07714,-0.53439503,KIR3DL2///KIR3DL1,"killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2///killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1"
213653_at,3.96E-02,3.57E-04,-3.7171969,0.06449,-0.62385851,METTL3,methyltransferase like 3
205977_s_at,4.04E-02,3.67E-04,-3.7095156,0.04135,-0.688893,EPHA1,EPH receptor A1
207550_at,4.10E-02,3.74E-04,3.7038542,0.02431,0.79189568,MPL,"MPL proto-oncogene, thrombopoietin receptor"
204116_at,4.14E-02,3.79E-04,-3.6997774,0.01206,-0.55826975,IL2RG,interleukin 2 receptor subunit gamma
206465_at,4.16E-02,3.82E-04,3.6971442,0.00415,0.76049261,ACSBG1,acyl-CoA synthetase bubblegum family member 1
214455_at,4.28E-02,3.96E-04,3.6869618,-0.02641,0.71285097,HIST1H2BC///HIST1H2BI///HIST1H2BE///HIST1H2BF///HIST1H2BG,"histone cluster 1, H2bc///histone cluster 1, H2bi///histone cluster 1, H2be///histone cluster 1, H2bf///histone cluster 1, H2bg"
205291_at,4.34E-02,4.06E-04,-3.6798508,-0.04771,-0.69541995,IL2RB,interleukin 2 receptor subunit beta
38157_at,4.34E-02,4.06E-04,-3.6794295,-0.04898,-0.96340232,DXO,decapping exoribonuclease
215813_s_at,4.34E-02,4.07E-04,3.6787905,-0.05089,0.55962757,PTGS1,prostaglandin-endoperoxide synthase 1
207390_s_at,4.35E-02,4.12E-04,-3.6754411,-0.06091,-0.70305129,SMTN,smoothelin
201125_s_at,4.35E-02,4.12E-04,3.6754216,-0.06097,0.55522741,ITGB5,integrin subunit beta 5
218623_at,4.37E-02,4.16E-04,3.6722862,-0.07035,0.84242542,HMP19,HMP19 protein
210507_s_at,4.40E-02,4.23E-04,3.6671226,-0.08577,0.69816639,AVIL,advillin
208956_x_at,4.40E-02,4.25E-04,-3.6656529,-0.09016,-0.50627416,DUT,deoxyuridine triphosphatase
208504_x_at,4.40E-02,4.27E-04,3.6644093,-0.09388,0.5036049,PCDHB11,protocadherin beta 11
