ID,adj.P.Val,P.Value,F,Gene.symbol,Gene.title
202878_s_at,2.21E-09,1.39E-11,30.627233,CD93,CD93 molecule
220742_s_at,2.21E-09,1.39E-11,30.620928,NGLY1,N-glycanase 1
202665_s_at,2.31E-09,1.46E-11,30.546419,WIPF1,WAS/WASL interacting protein family member 1
218243_at,2.40E-09,1.53E-11,30.481891,RUFY1,RUN and FYVE domain containing 1
212783_at,2.42E-09,1.56E-11,30.455629,RBBP6,"RB binding protein 6, ubiquitin ligase"
203305_at,2.44E-09,1.58E-11,30.436946,F13A1,coagulation factor XIII A chain
209117_at,2.51E-09,1.64E-11,30.382028,WBP2,WW domain binding protein 2
207840_at,2.52E-09,1.66E-11,30.362679,CD160,CD160 molecule
202436_s_at,2.52E-09,1.66E-11,30.358586,CYP1B1,cytochrome P450 family 1 subfamily B member 1
206019_at,2.63E-09,1.75E-11,30.279159,RBM19,RNA binding motif protein 19
212266_s_at,2.63E-09,1.76E-11,30.275747,SRSF5,serine and arginine rich splicing factor 5
203817_at,2.66E-09,1.79E-11,30.247055,GUCY1B3,guanylate cyclase 1 soluble subunit beta
207206_s_at,2.73E-09,1.85E-11,30.200647,ALOX12,"arachidonate 12-lipoxygenase, 12S type"
212506_at,2.92E-09,1.99E-11,30.092295,PICALM,phosphatidylinositol binding clathrin assembly protein
218798_at,3.23E-09,2.22E-11,29.933602,KRI1,KRI1 homolog
200738_s_at,3.25E-09,2.24E-11,29.915575,PGK1,phosphoglycerate kinase 1
213142_x_at,3.33E-09,2.32E-11,29.867872,GSAP,gamma-secretase activating protein
217739_s_at,3.44E-09,2.41E-11,29.813469,NAMPT,nicotinamide phosphoribosyltransferase
203202_at,3.63E-09,2.58E-11,29.713033,KRR1,"KRR1, small subunit processome component homolog"
212531_at,3.63E-09,2.58E-11,29.712709,LCN2,lipocalin 2
222018_at,3.82E-09,2.73E-11,29.630442,NACA,nascent polypeptide-associated complex alpha subunit
210987_x_at,4.03E-09,2.89E-11,29.542991,TPM1,tropomyosin 1 (alpha)
205249_at,4.18E-09,3.02E-11,29.4799,EGR2,early growth response 2
212187_x_at,4.45E-09,3.23E-11,29.38046,PTGDS,prostaglandin D2 synthase
213836_s_at,4.46E-09,3.26E-11,29.366473,WIPI1,"WD repeat domain, phosphoinositide interacting 1"
212307_s_at,4.47E-09,3.29E-11,29.354121,OGT,O-linked N-acetylglucosamine (GlcNAc) transferase
201478_s_at,4.53E-09,3.36E-11,29.324973,MIR664B///SNORA56///DKC1,"microRNA 664b///small nucleolar RNA, H/ACA box 56///dyskerin pseudouridine synthase 1"
221676_s_at,4.70E-09,3.50E-11,29.264969,CORO1C,coronin 1C
216323_x_at,5.12E-09,3.84E-11,29.129254,TUBA3D///TUBA3C,tubulin alpha 3d///tubulin alpha 3c
200609_s_at,5.13E-09,3.89E-11,29.109573,WDR1,WD repeat domain 1
208987_s_at,5.13E-09,3.89E-11,29.109533,KDM2A,lysine demethylase 2A
200864_s_at,5.40E-09,4.12E-11,29.0279,RAB11A,"RAB11A, member RAS oncogene family"
221905_at,5.45E-09,4.19E-11,29.003579,CYLD,CYLD lysine 63 deubiquitinase
37986_at,5.53E-09,4.28E-11,28.970736,EPOR,erythropoietin receptor
212229_s_at,5.53E-09,4.29E-11,28.966453,FBXO21,F-box protein 21
203164_at,5.62E-09,4.39E-11,28.933487,SLC33A1,solute carrier family 33 member 1
208792_s_at,5.62E-09,4.41E-11,28.927311,CLU,clusterin
201608_s_at,5.95E-09,4.70E-11,28.835227,PWP1,"PWP1 homolog, endonuclein"
200080_s_at,6.00E-09,4.77E-11,28.814447,H3F3AP4///H3F3B///H3F3A,"H3 histone, family 3A, pseudogene 4///H3 histone, family 3B///H3 histone, family 3A"
218280_x_at,6.06E-09,4.85E-11,28.789683,HIST2H2AA4///HIST2H2AA3,"histone cluster 2, H2aa4///histone cluster 2, H2aa3"
221919_at,6.06E-09,4.87E-11,28.784603,HNRNPA1,heterogeneous nuclear ribonucleoprotein A1
209130_at,6.09E-09,4.92E-11,28.76766,SNAP23,synaptosome associated protein 23
206655_s_at,6.15E-09,5.04E-11,28.732939,SEPT5-GP1BB///SEPT5///GP1BB,SEPT5-GP1BB readthrough///septin 5///glycoprotein Ib platelet beta subunit
210346_s_at,6.15E-09,5.05E-11,28.730626,CLK4,CDC like kinase 4
202897_at,6.15E-09,5.05E-11,28.730255,SIRPA,signal regulatory protein alpha
218716_x_at,6.30E-09,5.20E-11,28.688268,MTO1,mitochondrial tRNA translation optimization 1
212511_at,6.62E-09,5.52E-11,28.60144,PICALM,phosphatidylinositol binding clathrin assembly protein
218168_s_at,6.62E-09,5.53E-11,28.59917,COQ8A,coenzyme Q8A
221516_s_at,6.98E-09,5.86E-11,28.515142,MIEF1,mitochondrial elongation factor 1
213359_at,7.33E-09,6.19E-11,28.436562,HNRNPD,heterogeneous nuclear ribonucleoprotein D
214567_s_at,7.49E-09,6.36E-11,28.397484,XCL2///XCL1,X-C motif chemokine ligand 2///X-C motif chemokine ligand 1
206267_s_at,7.74E-09,6.60E-11,28.342598,MATK,megakaryocyte-associated tyrosine kinase
201947_s_at,7.96E-09,6.83E-11,28.294369,CCT2,chaperonin containing TCP1 subunit 2
202664_at,8.78E-09,7.56E-11,28.146522,WIPF1,WAS/WASL interacting protein family member 1
208527_x_at,8.86E-09,7.67E-11,28.125681,HIST1H2BE,"histone cluster 1, H2be"
200593_s_at,9.01E-09,7.84E-11,28.094265,HNRNPU,heterogeneous nuclear ribonucleoprotein U
220890_s_at,9.12E-09,7.98E-11,28.068649,APOLD1///DDX47,apolipoprotein L domain containing 1///DEAD-box helicase 47
209154_at,9.15E-09,8.05E-11,28.055927,P2RX5-TAX1BP3///TAX1BP3,P2RX5-TAX1BP3 readthrough (NMD candidate)///Tax1 binding protein 3
206698_at,9.21E-09,8.16E-11,28.036285,XK,X-linked Kx blood group
218405_at,9.21E-09,8.19E-11,28.031883,ABT1,activator of basal transcription 1
201920_at,9.28E-09,8.28E-11,28.015126,SLC20A1,solute carrier family 20 member 1
214039_s_at,9.64E-09,8.65E-11,27.952186,LAPTM4B,lysosomal protein transmembrane 4 beta
202789_at,9.72E-09,8.77E-11,27.93215,PLCG1,phospholipase C gamma 1
221427_s_at,9.72E-09,8.81E-11,27.926881,CCNL2,cyclin L2
220496_at,9.90E-09,9.02E-11,27.89228,CLEC1B,C-type lectin domain family 1 member B
203370_s_at,1.01E-08,9.27E-11,27.853718,PDLIM7,PDZ and LIM domain 7
208206_s_at,1.01E-08,9.28E-11,27.851135,RASGRP2,RAS guanyl releasing protein 2
212573_at,1.02E-08,9.43E-11,27.827816,ENDOD1,endonuclease domain containing 1
209085_x_at,1.02E-08,9.49E-11,27.819461,RFC1,replication factor C subunit 1
203241_at,1.07E-08,1.00E-10,27.742585,UVRAG,UV radiation resistance associated
201456_s_at,1.10E-08,1.03E-10,27.704521,BUB3,"BUB3, mitotic checkpoint protein"
202228_s_at,1.13E-08,1.06E-10,27.654501,NPTN,neuroplastin
206465_at,1.17E-08,1.12E-10,27.58749,ACSBG1,acyl-CoA synthetase bubblegum family member 1
212001_at,1.17E-08,1.12E-10,27.586359,SUGP2,SURP and G-patch domain containing 2
220404_at,1.19E-08,1.14E-10,27.559043,ADGRG3,adhesion G protein-coupled receptor G3
201058_s_at,1.20E-08,1.15E-10,27.542674,MYL9,myosin light chain 9
207610_s_at,1.32E-08,1.27E-10,27.400406,ADGRE2,adhesion G protein-coupled receptor E2
202974_at,1.39E-08,1.35E-10,27.314024,MPP1,membrane palmitoylated protein 1
222000_at,1.39E-08,1.35E-10,27.309408,C1orf174,chromosome 1 open reading frame 174
219620_x_at,1.51E-08,1.48E-10,27.187598,TOR4A,torsin family 4 member A
203942_s_at,1.55E-08,1.52E-10,27.142615,MARK2,microtubule affinity regulating kinase 2
208633_s_at,1.55E-08,1.53E-10,27.139381,MACF1,microtubule-actin crosslinking factor 1
205883_at,1.63E-08,1.61E-10,27.05872,ZBTB16,zinc finger and BTB domain containing 16
207156_at,1.66E-08,1.65E-10,27.028682,HIST1H2AH///HIST1H2AG///HIST1H2AM///HIST1H2AL///HIST1H2AK///HIST1H2AI,"histone cluster 1, H2ah///histone cluster 1, H2ag///histone cluster 1, H2am///histone cluster 1, H2al///histone cluster 1, H2ak///histone cluster 1, H2ai"
202896_s_at,1.70E-08,1.71E-10,26.981091,SIRPA,signal regulatory protein alpha
209179_s_at,1.73E-08,1.74E-10,26.953275,MBOAT7,membrane bound O-acyltransferase domain containing 7
217845_x_at,1.73E-08,1.75E-10,26.947501,HIGD1A,HIG1 hypoxia inducible domain family member 1A
204668_at,1.73E-08,1.75E-10,26.943057,RNF24,ring finger protein 24
212077_at,1.79E-08,1.82E-10,26.88605,CALD1,caldesmon 1
200603_at,1.80E-08,1.85E-10,26.868878,PRKAR1A,protein kinase cAMP-dependent type I regulatory subunit alpha
202850_at,1.84E-08,1.89E-10,26.835864,ABCD3,ATP binding cassette subfamily D member 3
203827_at,1.88E-08,1.94E-10,26.799558,WIPI1,"WD repeat domain, phosphoinositide interacting 1"
212154_at,1.98E-08,2.05E-10,26.715983,SDC2,syndecan 2
207674_at,2.00E-08,2.08E-10,26.69633,FCAR,Fc fragment of IgA receptor
64432_at,2.01E-08,2.10E-10,26.685073,MAPKAPK5-AS1,MAPKAPK5 antisense RNA 1
220319_s_at,2.01E-08,2.11E-10,26.677747,MYLIP,myosin regulatory light chain interacting protein
221036_s_at,2.02E-08,2.14E-10,26.660528,APH1B,"aph-1 homolog B, gamma-secretase subunit"
208649_s_at,2.02E-08,2.14E-10,26.657374,VCP,valosin containing protein
202241_at,2.03E-08,2.16E-10,26.643456,TRIB1,tribbles pseudokinase 1
210986_s_at,2.16E-08,2.31E-10,26.552831,TPM1,tropomyosin 1 (alpha)
218605_at,2.25E-08,2.41E-10,26.487373,TFB2M,"transcription factor B2, mitochondrial"
213594_x_at,2.25E-08,2.42E-10,26.482549,SRSF10,serine and arginine rich splicing factor 10
212673_at,2.26E-08,2.45E-10,26.468996,METAP1,methionyl aminopeptidase 1
209932_s_at,2.29E-08,2.49E-10,26.442665,DUT,deoxyuridine triphosphatase
208956_x_at,2.35E-08,2.57E-10,26.400951,DUT,deoxyuridine triphosphatase
214430_at,2.35E-08,2.57E-10,26.398408,GLA,galactosidase alpha
212462_at,2.39E-08,2.62E-10,26.369987,KAT6B,lysine acetyltransferase 6B
214074_s_at,2.50E-08,2.76E-10,26.296726,CTTN,cortactin
204023_at,2.52E-08,2.79E-10,26.282627,RFC4,replication factor C subunit 4
213046_at,2.60E-08,2.90E-10,26.230013,PABPN1,poly(A) binding protein nuclear 1
212591_at,2.62E-08,2.93E-10,26.215408,ARID4B///RBM34,AT-rich interaction domain 4B///RNA binding motif protein 34
218945_at,2.63E-08,2.95E-10,26.206133,METTL22,methyltransferase like 22
208791_at,2.65E-08,2.98E-10,26.18802,CLU,clusterin
201694_s_at,2.74E-08,3.10E-10,26.135276,EGR1,early growth response 1
212348_s_at,2.75E-08,3.12E-10,26.125741,KDM1A,lysine demethylase 1A
204232_at,2.81E-08,3.20E-10,26.089835,FCER1G,Fc fragment of IgE receptor Ig
201747_s_at,2.83E-08,3.24E-10,26.071738,SAFB,scaffold attachment factor B
219860_at,2.91E-08,3.34E-10,26.026804,LY6G5C,"lymphocyte antigen 6 complex, locus G5C"
207815_at,2.92E-08,3.38E-10,26.010952,PF4V1,platelet factor 4 variant 1
204069_at,2.92E-08,3.38E-10,26.010765,MEIS1,Meis homeobox 1
200750_s_at,2.94E-08,3.41E-10,25.998371,RAN,"RAN, member RAS oncogene family"
206200_s_at,2.94E-08,3.43E-10,25.989702,ANXA11,annexin A11
202157_s_at,3.12E-08,3.66E-10,25.89998,CELF2,"CUGBP, Elav-like family member 2"
213842_x_at,3.12E-08,3.66E-10,25.898003,NSUN5P2///NSUN5P1,NOP2/Sun RNA methyltransferase family member 5 pseudogene 2///NOP2/Sun RNA methyltransferase family member 5 pseudogene 1
209974_s_at,3.15E-08,3.71E-10,25.879378,BUB3,"BUB3, mitotic checkpoint protein"
217997_at,3.15E-08,3.74E-10,25.870568,PHLDA1,pleckstrin homology like domain family A member 1
212058_at,3.18E-08,3.78E-10,25.855622,U2SURP,U2 snRNP associated SURP domain containing
219117_s_at,3.20E-08,3.82E-10,25.839558,FKBP11,FK506 binding protein 11
217738_at,3.22E-08,3.86E-10,25.824955,NAMPT,nicotinamide phosphoribosyltransferase
208625_s_at,3.29E-08,3.95E-10,25.792137,EIF4G1,eukaryotic translation initiation factor 4 gamma 1
207563_s_at,3.35E-08,4.04E-10,25.760838,OGT,O-linked N-acetylglucosamine (GlcNAc) transferase
209489_at,3.52E-08,4.27E-10,25.684454,CELF1,"CUGBP, Elav-like family member 1"
212202_s_at,3.52E-08,4.28E-10,25.678546,TMEM87A,transmembrane protein 87A
220751_s_at,3.57E-08,4.36E-10,25.653317,FAXDC2,fatty acid hydroxylase domain containing 2
206666_at,3.69E-08,4.52E-10,25.604618,GZMK,granzyme K
212457_at,3.84E-08,4.72E-10,25.542989,TFE3,transcription factor binding to IGHM enhancer 3
212000_at,3.84E-08,4.74E-10,25.537282,SUGP2,SURP and G-patch domain containing 2
214060_at,3.86E-08,4.78E-10,25.525861,SSBP1,single stranded DNA binding protein 1
214768_x_at,3.87E-08,4.84E-10,25.50813,IGKC,immunoglobulin kappa constant
201499_s_at,3.87E-08,4.84E-10,25.507514,USP7,ubiquitin specific peptidase 7
214836_x_at,3.87E-08,4.85E-10,25.504865,IGK///IGKC,immunoglobulin kappa locus///immunoglobulin kappa constant
